JSP Vehicle,GSP Vehicle,Seradata Vehicle,Family,Country,Class
Sputnik 11A59,11A59 I1,,Modified R-7,Russia,
Voskhod 11A57,Voskhod,,Voskhod,Russia,
Kosmos 65S3,Kosmos-1,,Kosmos,Russia,Small
Vostok 8A92M,Vostok-2M,,Vostok,Russia,Medium
UR-500,Proton,,Proton,Russia,Heavy
Molniya 8K78M,Molniya-M (Blok-L),,Molniya,Russia,Medium
Kosmos 11K63,Kosmos-2,,Kosmos,Russia,Small
Soyuz 11A510,11A510 US,,Modified R-7,Russia,
R-36O 8K69,,,R-36 / Cyclone,Russia,Medium
Soyuz 11A511,Soyuz,,Soyuz,Russia,Medium
UR-500K/Blok D,Proton-K Blok-D,,Proton,Russia,Heavy
Kosmos 11K65,Kosmos-3,,Kosmos,Russia,Small
Proton-K/D,Proton-K Blok-D,,Proton,Russia,Heavy
Kosmos 11K65M,Kosmos-3M,,Kosmos,Russia,Small
Tsiklon-2A,Tsiklon-2A,,R-36 / Cyclone,Russia,Medium
Proton-K,Proton-K,,Proton,Russia,Heavy
Tsiklon-2,Tsiklon-2,,R-36 / Cyclone,Russia,Medium
R-36O 8K69M,R-36-O,,R-36 / Cyclone,Russia,Medium
Soyuz 11A511L,Soyuz-L,,Soyuz,Russia,Medium
Soyuz 11A511M,Soyuz-M,,Soyuz,Russia,Medium
Soyuz-U,Soyuz-U,,Soyuz,Russia,Medium
Proton-K/DM,Proton-K Blok-DM,,Proton,Russia,Heavy
Proton-K/D-1,Proton-K Blok-D,,Proton,Russia,Heavy
Tsiklon-3,Tsiklon-3,,R-36 / Cyclone,Russia,Medium
K65M-RB,K65M-RB5,,Kosmos,Russia,Small
Proton-K/DM-2,Proton-K Blok-DM-2,,Proton,Russia,Heavy
Soyuz-U2,Soyuz-U2,,Soyuz,Russia,Medium
Soyuz-U-PVB,Soyuz-U,,Soyuz,Russia,Medium
Zenit-2,Zenit-2,,Zenit 2,Russia,Medium
Proton-K/D-2,Proton-K Blok-D-2,,Proton,Russia,Heavy
Energiya/Buran,Energiya Buran,,Energiya,Russia,Heavy
Molniya 8K78M-PVB,Molniya-M (Blok-2BL),,Molniya,Russia,Medium
Proton-K/DM-2M,Proton-K Blok-DM-2M,,Proton,Russia,Heavy
Proton-K/17S40,Proton-K Blok-DM-5,,Proton,Russia,Heavy
Shtil'-1,Shtil-1,,Shtil,Russia,Small
Zenit-3SL,Zenit-3SL (1),,Zenit 3SL,Russia,Medium
Dnepr,Dnepr,,Dnepr,Russia,Medium
Proton-K/Briz-M,Proton-K Briz-M,,Proton,Russia,Heavy
Proton-M/Briz-M,Proton-M Briz-M (Mod 1),,Proton,Russia,Heavy
Soyuz-FG,Soyuz-FG,,Soyuz,Russia,Medium
Soyuz-2-1A,Soyuz-2-1a Fregat,,Soyuz,Russia,Medium
Soyuz-2-1B,Soyuz-2-1b Fregat,,Soyuz,Russia,Medium
Zenit-2M,Zenit-2M,,Zenit 2,Russia,Medium
Proton-M/DM-2,Proton-M Blok-DM-2,,Proton,Russia,Heavy
Zenit-3SLB,Zenit-3SLB,,Zenit 3SL,Russia,Medium
Zenit-3SLBF,Zenit-3F,,Zenit 3SL,Russia,Medium
Soyuz-ST-B,Soyuz-ST-B Fregat-MT,,Soyuz,Russia,Medium
