LV_Type
Sputnik 8K71PS
Jupiter C
Sputnik 8A91
NOTS EV1
Thor Able I
Juno II
Atlas B
Thor Agena A
Thor Able III
Thor Able II
Atlas Able
Thor Able IV
Thor Ablestar
Thor Delta
Thor Agena B
Atlas D
Blue Scout II
Thor Agena D
Thor SLV-2A Agena D
Thor SLV-2A Agena B
Thor SLV-2 Agena D
Polyot 11A59
Voskhod 11A57
Thor SLV-2 Agena B
Thor MG-18
Thor Burner 1
UR-500
Diamant A
Thor Delta C
Atlas SLV-3
Thor Delta E
Thorad SLV-2G Agena D
Thor Burner 2
Lambda 4S
UR-500K/Blok D
SPARTA
Atlas F
Atlas Burner 2
Europa I
N-1 11A52
Thorad SLV-2H Agena D
LM AS
Thor Delta N
Diamant B
Chang Zheng 1
E-8-5 VA
Thor Delta M
Thor Burner 2A
Europa II
Feng Bao 1
Atlas F/PTS
Chang Zheng 2
Diamant BP.4
N-1
Chang Zheng 2C
Atlas F/MSD
Thor DSV-2U
Atlas F/SVS
Atlas F/OIS
SLV-3
Ariane 1
Atlas E/MSD
N-2
Atlas E/SVS
K65M-RB
Atlas E
Atlas H
Atlas E/SGS-2
Chang Zheng 3
Atlas E/OIS
H-1
ASLV
Chang Zheng 4
Delta 6000-Series
Atlas E Altair
Chang Zheng 2E
Chang Zheng 2D
Chang Zheng 3A
LLV-1
Conestoga 1620
LMLV-1
VLS-1
Paektusan 1
Chang Zheng 4B
Chang Zheng 2F
KT-1
Volna
Chang Zheng 4C
Ariane 5ES/ATV
Safir
Naro-1
Chang Zheng 6
Chang Zheng 11
Super Strypi
Kwangmyongsong
Chang Zheng 7
Zhuque-1
Simorgh
OS-M1
Jielong-1
Qased
LauncherOne
Astra Rocket 3.1
Gushenxing 1
CE-5 SSQ
Astra Rocket 3.2
Chang Zheng 8
Astra Rocket 3.3
Firefly Alpha
Nuri
Lijian-1
SSLV
SLS Block 1
Jielong-3
Zhuque-2
RS1
H3-22S
Terran 1
Tianlong 2
Starship V1.0
Cheonlima-1
